user_id,total_spend,avg_spend,transaction_count,late_night_ratio,avg_gap,monthly_income,monthly_spend,spending_income_ratio,cluster,user_type
1,218937.78,408.46600746268655,536,0.291044776119403,8.049782338308457,65707.68,36489.63,0.5553328012798504,3,Late-Night Spender
2,170143.14,554.2121824104235,307,0.31596091205211724,13.997828447339847,56136.25,28357.190000000002,0.5051493464561669,2,Balanced Spender
3,152129.09,373.7815479115479,407,0.10810810810810811,10.51949221949222,47807.64,25354.84833333333,0.5303513901404322,2,Balanced Spender
4,625885.08,1778.0826136363635,352,0.1846590909090909,12.269176136363637,203792.13,104314.18,0.5118655955948839,1,High-Value Spender
5,166517.09,272.532062193126,611,0.25368248772504093,7.066557555919259,38873.96,27752.84833333333,0.7139187346319575,0,Frequent Spender
6,137555.99,296.45687499999997,464,0.07543103448275862,9.255747126436782,40258.87,22925.998333333333,0.569464526285346,0,Frequent Spender
7,195715.55,396.18532388663965,494,0.23076923076923078,8.727834008097167,116097.04,32619.25833333333,0.28096546073296386,2,Balanced Spender
8,98395.51,286.0334593023256,344,0.15406976744186046,12.49752906976744,24126.7,16399.251666666667,0.6797138301826054,2,Balanced Spender
9,219357.63,339.0380680061824,647,0.19783616692426584,6.6469345698093765,59263.81,36559.605,0.6168959606208242,0,Frequent Spender
10,113188.15,416.1329044117647,272,0.40808823529411764,15.834436274509802,55282.79,18864.691666666666,0.3412398626528557,2,Balanced Spender
11,120484.74,308.1451150895141,391,0.16624040920716113,11.017561807331628,35520.46,20080.79,0.5653302350251095,2,Balanced Spender
12,174991.64,304.8634843205575,574,0.15156794425087108,7.505865272938444,41017.55,29165.273333333334,0.711043768663251,0,Frequent Spender
13,156520.6,289.852962962963,540,0.1537037037037037,7.970987654320987,45309.47,26086.766666666666,0.5757464535927405,0,Frequent Spender
14,100979.82,187.3466048237477,539,0.027829313543599257,7.983364254792825,34936.08,16829.97,0.48173607342323466,0,Frequent Spender
15,307111.2,808.1873684210526,380,0.25,11.336359649122807,82256.18,51185.200000000004,0.6222657069657259,1,High-Value Spender
16,131589.89,196.99085329341318,668,0.3652694610778443,6.46432135728543,42154.61,21931.648333333334,0.5202669016113145,3,Late-Night Spender
17,165018.89,336.0873523421589,491,0.2219959266802444,8.778920570264765,37272.51,27503.148333333334,0.7378936469084946,0,Frequent Spender
18,199134.08,624.2447648902821,319,0.3949843260188088,13.48861024033438,89626.0,33189.01333333333,0.37030564047634984,2,Balanced Spender
