user_id,date_time,amount,description,category
1,2026-01-01 09:00:00,161.44,Uber,transport
1,2026-01-01 19:00:00,645.12,Auto,transport
1,2026-01-02 22:00:00,355.96,Cafe,food
1,2026-01-02 12:00:00,60.59,Movie,entertainment
1,2026-01-02 13:00:00,471.51,Flipkart,shopping
1,2026-01-02 17:00:00,361.19,Auto,transport
1,2026-01-02 22:00:00,779.16,Uber,transport
1,2026-01-03 13:00:00,577.14,Uber,transport
1,2026-01-03 21:00:00,370.01,Cafe,food
1,2026-01-03 20:00:00,718.52,Flipkart,shopping
1,2026-01-03 20:00:00,709.51,Uber,transport
1,2026-01-03 15:00:00,937.37,Netflix,entertainment
1,2026-01-04 20:00:00,524.36,Auto,transport
1,2026-01-05 23:00:00,310.35,Netflix,entertainment
1,2026-01-05 16:00:00,172.76,Flipkart,shopping
1,2026-01-06 13:00:00,112.4,Zomato,food
1,2026-01-07 23:00:00,507.7,Zomato,food
1,2026-01-07 15:00:00,826.3,Uber,transport
1,2026-01-07 20:00:00,124.01,Movie,entertainment
1,2026-01-08 17:00:00,789.19,Netflix,entertainment
1,2026-01-08 23:00:00,513.89,Netflix,entertainment
1,2026-01-08 10:00:00,617.28,Uber,transport
1,2026-01-08 10:00:00,696.27,Flipkart,shopping
1,2026-01-08 12:00:00,567.79,Amazon,shopping
1,2026-01-09 18:00:00,217.59,Amazon,shopping
1,2026-01-09 12:00:00,367.38,Auto,transport
1,2026-01-10 13:00:00,176.68,Uber,transport
1,2026-01-10 22:00:00,94.13,Movie,entertainment
1,2026-01-11 23:00:00,630.75,Zomato,food
1,2026-01-11 12:00:00,213.81,Movie,entertainment
1,2026-01-11 11:00:00,828.06,Auto,transport
1,2026-01-11 09:00:00,875.75,Netflix,entertainment
1,2026-01-11 19:00:00,413.75,Movie,entertainment
1,2026-01-12 23:00:00,134.61,Uber,transport
1,2026-01-12 17:00:00,634.83,Swiggy,food
1,2026-01-12 19:00:00,312.54,Uber,transport
1,2026-01-13 22:00:00,447.29,Netflix,entertainment
1,2026-01-13 18:00:00,579.23,Flipkart,shopping
1,2026-01-13 19:00:00,236.54,Movie,entertainment
1,2026-01-13 09:00:00,765.78,Amazon,shopping
1,2026-01-13 23:00:00,298.13,Netflix,entertainment
1,2026-01-14 16:00:00,400.67,Netflix,entertainment
1,2026-01-14 20:00:00,907.35,Amazon,shopping
1,2026-01-14 17:00:00,996.21,Netflix,entertainment
1,2026-01-14 18:00:00,322.41,Amazon,shopping
1,2026-01-14 22:00:00,158.29,Cafe,food
1,2026-01-15 14:00:00,142.11,Uber,transport
1,2026-01-15 22:00:00,786.39,Cafe,food
1,2026-01-15 19:00:00,329.44,Netflix,entertainment
1,2026-01-15 18:00:00,605.47,Uber,transport
1,2026-01-15 13:00:00,309.23,Cafe,food
1,2026-01-16 17:00:00,223.19,Amazon,shopping
1,2026-01-16 12:00:00,298.13,Amazon,shopping
1,2026-01-16 14:00:00,131.46,Amazon,shopping
1,2026-01-17 22:00:00,994.03,Swiggy,food
1,2026-01-17 12:00:00,565.7,Netflix,entertainment
1,2026-01-18 14:00:00,95.68,Cafe,food
1,2026-01-18 13:00:00,842.45,Amazon,shopping
1,2026-01-18 12:00:00,222.19,Auto,transport
1,2026-01-18 14:00:00,279.82,Flipkart,shopping
1,2026-01-18 20:00:00,595.48,Amazon,shopping
1,2026-01-19 20:00:00,308.64,Flipkart,shopping
1,2026-01-19 17:00:00,309.89,Auto,transport
1,2026-01-19 11:00:00,907.95,Movie,entertainment
1,2026-01-19 20:00:00,587.74,Auto,transport
1,2026-01-20 13:00:00,588.42,Amazon,shopping
1,2026-01-20 22:00:00,323.68,Cafe,food
1,2026-01-20 11:00:00,737.67,Auto,transport
1,2026-01-20 15:00:00,145.21,Zomato,food
1,2026-01-21 21:00:00,999.83,Netflix,entertainment
1,2026-01-22 14:00:00,135.94,Flipkart,shopping
1,2026-01-22 12:00:00,678.61,Netflix,entertainment
1,2026-01-23 16:00:00,336.96,Amazon,shopping
1,2026-01-23 23:00:00,815.17,Uber,transport
1,2026-01-23 22:00:00,374.11,Uber,transport
1,2026-01-23 13:00:00,234.76,Cafe,food
1,2026-01-24 17:00:00,696.46,Auto,transport
1,2026-01-24 23:00:00,143.38,Movie,entertainment
1,2026-01-24 22:00:00,802.28,Swiggy,food
1,2026-01-24 11:00:00,826.23,Movie,entertainment
1,2026-01-25 10:00:00,881.12,Netflix,entertainment
1,2026-01-25 22:00:00,614.47,Uber,transport
1,2026-01-25 22:00:00,954.42,Uber,transport
1,2026-01-25 11:00:00,832.22,Movie,entertainment
1,2026-01-26 23:00:00,64.08,Flipkart,shopping
1,2026-01-26 21:00:00,211.48,Amazon,shopping
1,2026-01-26 16:00:00,945.64,Flipkart,shopping
1,2026-01-27 19:00:00,837.86,Netflix,entertainment
1,2026-01-27 23:00:00,871.02,Movie,entertainment
1,2026-01-27 16:00:00,505.86,Uber,transport
1,2026-01-27 23:00:00,485.29,Flipkart,shopping
1,2026-01-28 20:00:00,201.59,Uber,transport
1,2026-01-28 18:00:00,741.86,Movie,entertainment
1,2026-01-28 22:00:00,234.4,Movie,entertainment
1,2026-01-28 11:00:00,517.56,Swiggy,food
1,2026-01-29 14:00:00,405.56,Uber,transport
1,2026-01-29 19:00:00,347.74,Uber,transport
1,2026-01-29 16:00:00,228.8,Uber,transport
1,2026-01-29 14:00:00,457.72,Flipkart,shopping
1,2026-01-29 10:00:00,482.45,Auto,transport
1,2026-01-30 19:00:00,970.32,Netflix,entertainment
1,2026-01-30 15:00:00,656.81,Netflix,entertainment
1,2026-01-31 15:00:00,160.89,Amazon,shopping
1,2026-01-31 11:00:00,109.24,Netflix,entertainment
1,2026-01-31 10:00:00,816.4,Amazon,shopping
1,2026-01-31 12:00:00,953.88,Amazon,shopping
1,2026-02-01 21:00:00,342.15,Cafe,food
1,2026-02-01 00:00:00,582.65,Zomato,food
1,2026-02-02 22:00:00,821.08,Movie,entertainment
1,2026-02-03 19:00:00,308.2,Swiggy,food
